,User,Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
579,u44,,,2013-04-13 16:49:45,2.0,1.0,2.0,4.0,
580,u44,,,2013-04-15 08:14:24,1.0,1.0,1.0,5.0,
581,u44,,,2013-04-16 16:28:29,1.0,1.0,1.0,4.0,
582,u44,,,2013-04-17 17:35:14,1.0,2.0,2.0,3.0,
583,u44,,,2013-04-18 16:36:28,1.0,1.0,2.0,3.0,
584,u44,,,2013-04-19 17:19:59,3.0,1.0,1.0,3.0,"43.69219884,-72.26694325"
585,u44,,,2013-04-20 16:34:03,2.0,1.0,2.0,3.0,"43.69222142,-72.26706862"
586,u44,,,2013-04-26 16:26:47,1.0,1.0,1.0,4.0,"43.69232314,-72.26697319"
587,u44,,,2013-04-21 17:08:49,1.0,1.0,1.0,4.0,"43.6926262,-72.26656479"
588,u44,,,2013-04-22 20:17:33,1.0,1.0,1.0,3.0,"43.70957133,-72.28436521"
589,u44,,,2013-04-23 17:41:46,1.0,1.0,1.0,5.0,"43.69219053,-72.26692503"
590,u44,,,2013-04-25 00:28:25,1.0,1.0,2.0,3.0,"43.69935873,-72.28135033"
591,u44,,,2013-04-25 16:27:56,1.0,1.0,2.0,3.0,"43.69221447,-72.26713368"
592,u44,,,2013-04-27 17:10:33,1.0,1.0,1.0,4.0,Unknown
593,u44,,,2013-04-29 15:12:33,1.0,1.0,1.0,4.0,"43.69198838,-72.26681867"
594,u44,,,2013-04-30 15:27:49,1.0,1.0,1.0,4.0,"43.69224381,-72.26703204"
595,u44,,,2013-05-01 15:04:07,1.0,1.0,3.0,2.0,"43.69241334,-72.26678771"
596,u44,,,2013-05-02 16:27:30,1.0,1.0,1.0,3.0,"43.69204957,-72.26697347"
597,u44,,,2013-05-13 17:11:33,5.0,1.0,1.0,1.0,"43.69206484,-72.26700327"
598,u44,,,2013-05-16 17:49:58,1.0,1.0,4.0,1.0,"43.69229577,-72.26673522"
599,u44,,,2013-05-12 04:31:32,2.0,1.0,1.0,3.0,"43.69231808,-72.26690462"
600,u44,,,2013-05-05 17:46:25,1.0,1.0,1.0,5.0,"43.69238395,-72.26701546"
601,u44,,,2013-05-12 17:06:19,1.0,1.0,1.0,4.0,"43.69220954,-72.26702639"
602,u44,,,2013-05-07 18:25:08,3.0,1.0,1.0,3.0,"43.69255276,-72.26704092"
603,u44,,,2013-05-15 16:49:42,1.0,1.0,1.0,5.0,"43.69219289,-72.26671048"
604,u44,,,2013-05-14 17:32:08,1.0,1.0,1.0,5.0,"43.69225,-72.26698519"
605,u44,,,2013-05-17 17:44:58,1.0,1.0,1.0,4.0,"43.69229406,-72.26664182"
606,u44,,,2013-05-18 17:40:48,1.0,1.0,3.0,1.0,"43.6922613,-72.26687932"
607,u44,,,2013-05-19 19:36:15,3.0,1.0,1.0,3.0,"43.69142104,-72.26941669"
608,u44,,,2013-05-22 17:41:45,1.0,1.0,1.0,4.0,"43.69230566,-72.26694933"
609,u44,,,2013-05-23 17:13:43,1.0,1.0,1.0,4.0,"43.69213441,-72.26712004"
610,u44,,,2013-05-24 17:21:07,1.0,1.0,1.0,3.0,"43.69215408,-72.26702352"
611,u44,,,2013-05-27 17:29:02,1.0,3.0,1.0,3.0,"43.69341383,-72.2733575"
613,u45,,,2013-04-09 06:07:41,1.0,1.0,2.0,4.0,
614,u45,,,2013-04-11 06:28:48,1.0,1.0,2.0,3.0,
615,u45,,,2013-04-13 06:33:35,1.0,1.0,1.0,2.0,
616,u45,,,2013-04-12 07:08:32,1.0,1.0,2.0,3.0,
617,u45,,,2013-04-21 20:19:01,1.0,1.0,2.0,3.0,"43.70877403,-72.28604331"
618,u45,,,2013-04-22 20:06:52,1.0,1.0,3.0,3.0,"43.71765973,-72.30672848"
623,u46,,,2013-04-08 04:03:30,3.0,1.0,1.0,3.0,
624,u46,,,2013-04-09 02:49:04,2.0,1.0,1.0,4.0,
625,u46,,,2013-04-10 06:16:18,3.0,1.0,2.0,2.0,
626,u46,,,2013-04-12 06:01:15,1.0,3.0,2.0,3.0,
627,u46,,,2013-04-15 16:33:38,1.0,3.0,1.0,3.0,
628,u46,,,2013-04-18 19:31:14,3.0,3.0,1.0,2.0,null
629,u46,,,2013-04-26 17:19:31,3.0,1.0,2.0,2.0,"43.70525386,-72.29094429"
631,u47,,,2013-04-13 07:46:16,1.0,3.0,1.0,3.0,
632,u47,,,2013-04-12 07:37:30,1.0,1.0,5.0,5.0,
633,u47,,,2013-04-14 06:19:49,1.0,1.0,1.0,5.0,
634,u47,,,2013-04-22 20:16:08,1.0,2.0,1.0,4.0,"43.68150483816862,-72.32194293290377"
641,u49,,,2013-04-08 04:11:04,4.0,3.0,1.0,1.0,
644,u49,,,2013-04-12 06:01:08,2.0,3.0,2.0,3.0,
645,u49,,,2013-04-13 06:00:45,1.0,1.0,3.0,4.0,
646,u49,,,2013-04-15 06:20:44,3.0,3.0,2.0,2.0,
647,u49,,,2013-04-16 07:59:17,2.0,4.0,2.0,2.0,
648,u49,,,2013-04-17 18:02:55,2.0,3.0,2.0,3.0,
649,u49,,,2013-04-22 20:01:02,1.0,2.0,2.0,4.0,Unknown
650,u49,,,2013-04-30 04:07:55,1.0,4.0,3.0,4.0,"43.70723417780009,-72.29061854292074"
651,u49,,,2013-05-02 04:57:42,1.0,3.0,2.0,4.0,"43.70138013908776,-72.28825029289776"
652,u49,,,2013-05-07 05:58:19,1.0,3.0,2.0,4.0,"43.7035966462642,-72.28889475367946"
653,u49,,,2013-05-10 20:08:02,2.0,1.0,3.0,3.0,"43.70578575320415,-72.28875349174373"
654,u49,,,2013-05-10 07:56:12,2.0,2.0,2.0,3.0,"43.70711602533703,-72.29071942280484"
655,u49,,,2013-05-14 22:58:22,1.0,3.0,3.0,3.0,"43.7059528775494,-72.28796572137354"
656,u49,,,2013-05-16 22:59:43,2.0,3.0,2.0,3.0,"43.70286346627294,-72.28975605167592"
657,u49,,,2013-05-04 21:05:06,1.0,1.0,2.0,3.0,"43.707379586159206,-72.29060853495425"
658,u49,,,2013-05-15 22:21:47,2.0,3.0,1.0,3.0,Unknown
659,u49,,,2013-05-13 02:53:31,3.0,3.0,2.0,1.0,"43.59243277218046,-72.1667505396561"
660,u49,,,2013-05-17 21:41:33,2.0,3.0,2.0,3.0,"43.70617485402612,-72.28842938820235"
661,u49,,,2013-05-23 04:02:54,1.0,4.0,2.0,4.0,Unknown
662,u49,,,2013-05-24 06:28:39,1.0,1.0,3.0,3.0,"43.70706086014926,-72.29065677866436"
663,u49,,,2013-05-27 02:21:28,3.0,3.0,2.0,2.0,"43.70506898342804,-72.29543466149126"
664,u49,,,2013-05-31 07:52:03,1.0,2.0,2.0,4.0,"43.7072259238806,-72.29061095852634"
666,u50,,,2013-04-10 07:56:38,4.0,3.0,3.0,5.0,
667,u50,,,2013-04-09 07:04:40,1.0,1.0,1.0,1.0,
668,u50,,,2013-04-12 06:14:21,4.0,5.0,3.0,1.0,
669,u50,,,2013-04-15 06:26:11,4.0,3.0,3.0,3.0,
672,u51,,,2013-04-15 23:15:55,3.0,4.0,4.0,1.0,
